日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-23,1215,23.08,23.08,23.49,22.95,19992,46283187.0,2.34,0.13,0.03,2.03
2024-09-24,1215,23.48,24.6,24.99,23.37,35304,84883169.45,7.02,6.59,1.52,3.59
2024-09-25,1215,25.18,24.87,25.43,24.71,34457,86235892.3,2.93,1.1,0.27,3.5
2024-09-26,1215,24.8,27.36,27.36,24.64,54074,142835682.52,10.94,10.01,2.49,5.5
2024-09-27,1215,28.9,29.26,30.1,28.62,122327,359271037.77,5.41,6.94,1.9,12.43
2024-09-30,1215,30.36,32.19,32.19,29.33,102654,319278440.81,9.77,10.01,2.93,10.43
2024-10-08,1215,35.41,32.5,35.41,31.19,95367,318198395.53,13.11,0.96,0.31,9.69
2024-10-09,1215,31.5,29.25,31.5,29.25,70780,211697638.85,6.92,-10.0,-3.25,7.19
2024-10-10,1215,29.23,29.11,29.96,28.2,52577,153604700.28,6.02,-0.48,-0.14,5.34
2024-10-11,1215,28.97,28.05,29.64,27.83,33093,94686125.69,6.22,-3.64,-1.06,3.36
2024-10-14,1215,28.02,27.92,28.42,27.1,48943,135642204.36,4.71,-0.46,-0.13,4.97
2024-10-15,1215,27.64,26.85,27.96,26.85,35322,96727175.08,3.98,-3.83,-1.07,3.59
2024-10-16,1215,26.4,26.26,26.96,26.07,38393,101547984.68,3.31,-2.2,-0.59,3.9
2024-10-17,1215,26.38,25.68,26.59,25.65,36554,95736265.16,3.58,-2.21,-0.58,3.71
2024-10-18,1215,25.58,26.46,27.05,25.58,50943,133308744.49,5.72,3.04,0.78,5.18
2024-10-21,1215,26.7,27.06,27.24,26.16,45818,122430463.49,4.08,2.27,0.6,4.66
2024-10-22,1215,27.1,28.43,28.49,26.91,65676,182574171.85,5.84,5.06,1.37,6.67
2024-10-23,1215,28.55,28.21,28.89,28.08,47072,133751932.76,2.85,-0.77,-0.22,4.78
2024-10-24,1215,28.1,27.98,28.45,27.75,24578,68758245.54,2.48,-0.82,-0.23,2.5
2024-10-25,1215,27.87,28.12,28.27,27.77,30714,86086683.0,1.79,0.5,0.14,3.12
2024-10-28,1215,28.14,30.93,30.93,28.14,63955,190629842.59,9.92,9.99,2.81,6.5
2024-10-29,1215,31.9,30.3,32.0,30.09,81491,253166082.39,6.18,-2.04,-0.63,8.28
2024-10-30,1215,30.0,29.8,30.47,29.08,56031,166377503.02,4.59,-1.65,-0.5,5.69
2024-10-31,1215,29.6,30.25,30.98,29.55,45973,139370919.08,4.8,1.51,0.45,4.67
2024-11-01,1215,29.88,31.14,31.56,29.82,68001,209368505.33,5.75,2.94,0.89,6.91
2024-11-04,1215,31.34,32.85,33.34,30.54,86321,274553515.01,8.99,5.49,1.71,8.77
2024-11-05,1215,32.91,32.88,34.3,32.14,100043,331965726.79,6.58,0.09,0.03,10.17
2024-11-06,1215,32.45,32.5,33.37,32.25,52895,173356669.44,3.41,-1.16,-0.38,5.38
2024-11-07,1215,32.16,35.75,35.75,32.1,48599,168918059.94,11.23,10.0,3.25,4.94
2024-11-08,1215,36.06,37.51,39.33,35.88,134287,498934772.96,9.65,4.92,1.76,13.65
2024-11-11,1215,38.75,39.36,40.4,37.02,109919,423650938.39,9.01,4.93,1.85,11.17
