日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-23,0.484,0.48,0.489,0.48,1750452,84680641.3,1.86,-1.03,-0.005,2.77
2024-09-24,0.483,0.497,0.498,0.477,3796933,185450420.9,4.38,3.54,0.017,6.01
2024-09-25,0.502,0.503,0.515,0.501,4107795,208810276.707,2.82,1.21,0.006,6.5
2024-09-26,0.501,0.524,0.525,0.499,4696842,239981822.332,5.17,4.17,0.021,7.43
2024-09-27,0.532,0.568,0.571,0.531,6894695,377937372.154,7.63,8.4,0.044,10.91
2024-09-30,0.606,0.625,0.625,0.584,8484954,517825160.685,7.22,10.04,0.057,13.42
2024-10-08,0.688,0.688,0.688,0.688,2083337,143333551.2,0.0,10.08,0.063,3.3
2024-10-09,0.757,0.757,0.757,0.71,20794737,1562854748.954,6.83,10.03,0.069,32.9
2024-10-10,0.765,0.726,0.783,0.705,14932972,1108794066.042,10.3,-4.1,-0.031,23.62
2024-10-11,0.7,0.679,0.717,0.67,8664031,597455476.215,6.47,-6.47,-0.047,13.71
2024-10-14,0.678,0.703,0.708,0.659,7314495,500673427.487,7.22,3.53,0.024,11.57
2024-10-15,0.704,0.691,0.724,0.689,7828765,551969329.318,4.98,-1.71,-0.012,12.39
2024-10-16,0.67,0.673,0.687,0.663,7654538,516361737.4,3.47,-2.6,-0.018,12.11
2024-10-17,0.688,0.674,0.693,0.673,4072310,278423701.2,2.97,0.15,0.001,6.44
2024-10-18,0.674,0.741,0.741,0.673,12632477,897818021.294,10.09,9.94,0.067,19.99
2024-10-21,0.77,0.776,0.815,0.758,16444072,1292290993.228,7.69,4.72,0.035,26.02
2024-10-22,0.769,0.765,0.786,0.753,9065862,694788422.379,4.25,-1.42,-0.011,14.34
2024-10-23,0.758,0.753,0.769,0.749,6796854,514515171.411,2.61,-1.57,-0.012,10.75
2024-10-24,0.745,0.752,0.762,0.742,5200197,391178612.1,2.66,-0.13,-0.001,8.23
2024-10-25,0.752,0.758,0.775,0.745,6357139,481278852.048,3.99,0.8,0.006,10.06
2024-10-28,0.757,0.757,0.758,0.747,4639382,349353321.332,1.45,-0.13,-0.001,7.34
2024-10-29,0.758,0.757,0.784,0.755,7677373,588943331.872,3.83,0.0,0.0,12.15
