日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-24,0.762,0.786,0.786,0.75,5206251,401573080.4,4.77,4.11,0.031,8.84
2024-09-25,0.801,0.796,0.823,0.792,7165958,577330305.2,3.94,1.27,0.01,12.17
2024-09-26,0.794,0.83,0.831,0.792,7492598,607374451.016,4.9,4.27,0.034,12.72
2024-09-27,0.846,0.887,0.899,0.837,11432568,987509385.949,7.47,6.87,0.057,19.41
2024-09-30,0.933,0.976,0.976,0.907,10569552,1001008868.628,7.78,10.03,0.089,17.95
2024-10-08,1.074,1.074,1.074,1.0,13799944,1459656426.346,7.58,10.04,0.098,23.43
2024-10-09,1.038,0.968,1.045,0.967,9077027,913389187.441,7.26,-9.87,-0.106,15.41
2024-10-10,0.976,0.947,0.998,0.933,10387538,1003351815.303,6.71,-2.17,-0.021,17.64
2024-10-11,0.94,0.901,0.942,0.887,5739666,523767238.457,5.81,-4.86,-0.046,9.75
2024-10-14,0.9,0.93,0.931,0.882,5661251,513079766.791,5.44,3.22,0.029,9.61
2024-10-15,0.915,0.929,0.965,0.912,6170547,583120917.187,5.7,-0.11,-0.001,10.48
2024-10-16,0.91,0.95,0.964,0.908,6454565,608405596.145,6.03,2.26,0.021,10.96
2024-10-17,0.954,0.967,0.993,0.946,7124701,691557671.939,4.95,1.79,0.017,12.1
2024-10-18,0.96,0.992,1.018,0.943,7779206,761786411.736,7.76,2.59,0.025,13.21
2024-10-21,0.985,1.038,1.056,0.985,9091959,934309306.407,7.16,4.64,0.046,15.44
2024-10-22,1.046,1.03,1.076,1.026,7985118,836729498.293,4.82,-0.77,-0.008,13.56
2024-10-23,1.023,1.009,1.03,1.004,8102874,824497591.004,2.52,-2.04,-0.021,13.76
2024-10-24,1.0,0.994,1.002,0.983,2788558,276737796.606,1.88,-1.49,-0.015,4.74
2024-10-25,0.994,1.026,1.035,0.994,5477833,556672783.268,4.12,3.22,0.032,9.3
2024-10-28,1.027,1.053,1.061,1.021,6679986,697901157.787,3.9,2.63,0.027,11.34
