日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-09,0.511,0.514,0.524,0.51,1739913,180065251.0,2.72,-0.19,-0.001,2.96
2025-01-10,0.514,0.508,0.529,0.507,903928,93926482.0,4.28,-1.17,-0.006,1.54
2025-01-13,0.492,0.503,0.507,0.492,330774,33051203.0,2.95,-0.98,-0.005,0.56
2025-01-14,0.504,0.527,0.528,0.501,510236,52879917.0,5.37,4.77,0.024,0.87
2025-01-15,0.526,0.529,0.534,0.52,553567,58538828.0,2.66,0.38,0.002,0.94
2025-01-16,0.53,0.515,0.535,0.51,577168,59964388.0,4.73,-2.65,-0.014,0.98
2025-01-17,0.514,0.525,0.532,0.51,497046,51924114.0,4.27,1.94,0.01,0.85
2025-01-20,0.53,0.527,0.533,0.524,445211,47065056.0,1.71,0.38,0.002,0.76
2025-01-21,0.532,0.551,0.553,0.532,851518,92303135.0,3.98,4.55,0.024,1.45
2025-01-22,0.548,0.55,0.551,0.542,887659,97084687.0,1.63,-0.18,-0.001,1.51
2025-01-23,0.563,0.542,0.565,0.541,976766,107877842.0,4.36,-1.45,-0.008,1.66
2025-01-24,0.542,0.558,0.558,0.54,1227054,135741116.0,3.32,2.95,0.016,2.09
2025-01-27,0.569,0.547,0.573,0.546,1843097,204407737.0,4.84,-1.97,-0.011,3.14
2025-02-05,0.561,0.573,0.58,0.561,1845590,210424983.0,3.47,4.75,0.026,3.14
2025-02-06,0.567,0.595,0.6,0.564,2115213,248906854.0,6.28,3.84,0.022,3.6
2025-02-07,0.6,0.606,0.619,0.593,3177654,385174679.0,4.37,1.85,0.011,5.41
2025-02-10,0.612,0.629,0.63,0.601,2648991,327184806.0,4.79,3.8,0.023,4.51
2025-02-11,0.63,0.616,0.633,0.613,3685458,457021362.0,3.18,-2.07,-0.013,6.28
2025-02-12,0.612,0.624,0.624,0.609,2863773,354105477.0,2.44,1.3,0.008,4.88
2025-02-13,0.624,0.606,0.624,0.606,2523229,309530404.0,2.88,-2.88,-0.018,4.3
2025-02-14,0.603,0.615,0.619,0.597,2180953,266170007.0,3.63,1.49,0.009,3.72
2025-02-17,0.618,0.617,0.621,0.608,2178012,267685407.0,2.11,0.33,0.002,3.71
